race,credit_score,zipcode,will_default
asian,677,71202,False
white,723,71200,False
white,803,71202,False
white,679,71204,False
white,763,71207,False
asian,791,71203,False
white,773,71206,False
white,533,71205,False
asian,777,71201,False
asian,710,71201,False
asian,770,71205,False
white,790,71205,False
white,750,71200,False
white,845,71202,False
hispanic,528,71205,True
asian,690,71201,False
hispanic,607,71206,False
asian,723,71200,False
black,656,71206,False
hispanic,410,71204,False
white,711,71206,False
hispanic,583,71207,True
hispanic,755,71205,False
white,723,71201,False
white,696,71203,False
asian,607,71205,True
white,622,71205,False
hispanic,692,71200,False
asian,785,71206,False
white,398,71201,True
white,746,71202,False
hispanic,718,71204,False
asian,652,71200,True
white,624,71204,False
white,527,71201,True
asian,726,71200,False
black,342,71206,False
hispanic,592,71205,True
asian,493,71202,False
white,431,71203,True
black,361,71205,True
hispanic,715,71204,False
white,606,71207,True
black,666,71207,False
white,790,71202,False
asian,796,71201,False
white,412,71202,True
black,367,71205,True
black,632,71206,False
white,630,71207,False
black,551,71205,True
hispanic,344,71205,True
hispanic,366,71207,True
asian,784,71200,False
asian,630,71200,False
white,759,71203,False
asian,818,71201,False
black,383,71205,True
asian,593,71201,False
black,352,71203,True
hispanic,602,71204,False
black,472,71204,True
asian,612,71202,False
white,818,71203,False
black,380,71206,True
white,785,71204,False
white,455,71202,True
asian,755,71205,False
asian,580,71202,False
hispanic,415,71205,True
white,638,71203,False
white,609,71201,False
white,678,71203,False
white,492,71200,True
white,635,71206,False
black,328,71206,True
white,676,71203,True
black,395,71201,True
white,721,71204,False
black,424,71202,True
asian,607,71207,False
asian,372,71200,True
white,734,71202,True
white,684,71202,True
white,591,71203,False
white,796,71202,False
white,462,71203,False
white,640,71206,False
asian,831,71201,False
black,593,71207,True
white,833,71203,False
white,577,71204,False
asian,663,71204,False
white,798,71201,False
black,410,71207,True
black,499,71205,True
white,687,71205,True
hispanic,461,71204,True
white,695,71202,False
asian,707,71202,False
white,694,71202,False
white,675,71202,False
white,747,71203,False
asian,624,71206,False
white,673,71202,False
white,734,71203,False
asian,582,71206,True
white,672,71200,False
asian,657,71204,True
asian,783,71204,False
hispanic,521,71204,False
hispanic,841,71204,False
hispanic,665,71205,True
hispanic,750,71202,False
asian,709,71204,False
asian,814,71203,False
white,713,71202,False
black,506,71205,False
black,566,71207,True
asian,568,71200,True
black,580,71206,False
asian,725,71206,False
white,700,71206,False
black,639,71202,False
hispanic,566,71205,False
black,578,71204,False
white,700,71203,False
hispanic,399,71207,True
black,662,71204,False
black,404,71200,True
black,680,71206,False
hispanic,763,71204,False
white,584,71200,False
asian,713,71206,False
asian,306,71202,True
hispanic,543,71205,True
asian,688,71200,False
hispanic,666,71202,False
asian,777,71201,False
white,712,71203,False
asian,770,71206,False
white,813,71203,False
black,479,71206,True
hispanic,622,71204,True
asian,581,71205,True
black,443,71202,True
black,481,71206,False
asian,666,71204,False
asian,623,71202,False
white,497,71202,False
white,599,71200,False
hispanic,584,71202,False
white,775,71203,False
white,656,71206,False
asian,399,71201,True
hispanic,326,71205,True
white,701,71200,False
white,828,71201,False
black,380,71206,True
asian,777,71203,True
white,670,71203,False
white,633,71206,False
hispanic,569,71200,False
hispanic,649,71202,False
white,750,71206,False
asian,784,71203,False
hispanic,523,71203,True
asian,511,71200,False
white,470,71203,False
black,572,71207,True
black,367,71207,True
asian,604,71200,False
hispanic,440,71207,True
hispanic,357,71204,True
white,793,71206,False
white,805,71206,False
hispanic,834,71207,False
asian,703,71201,True
white,341,71202,True
asian,726,71204,False
black,407,71207,True
hispanic,558,71207,True
asian,758,71206,False
white,521,71202,False
hispanic,647,71205,False
white,716,71201,False
asian,618,71205,False
white,628,71204,False
black,464,71205,True
hispanic,754,71201,False
black,430,71206,True
hispanic,687,71205,False
white,398,71203,True
asian,522,71203,True
asian,683,71200,False
white,789,71202,False
hispanic,720,71206,False
asian,529,71201,False
white,712,71204,False
hispanic,687,71205,False
asian,707,71202,False
black,649,71207,False
asian,642,71204,False
hispanic,412,71205,True
asian,515,71200,False
black,530,71207,True
asian,659,71203,False
hispanic,516,71207,True
hispanic,709,71203,False
black,424,71205,True
asian,504,71204,True
asian,652,71207,True
hispanic,466,71204,True
white,720,71204,False
white,699,71202,True
white,730,71200,False
white,691,71200,False
hispanic,491,71205,True
black,327,71205,True
black,652,71206,False
white,724,71204,False
white,845,71201,False
asian,795,71206,False
white,765,71204,False
white,660,71203,False
asian,634,71200,False
black,667,71207,True
white,757,71200,False
white,801,71206,False
white,491,71205,True
asian,746,71200,False
hispanic,772,71206,False
white,686,71203,False
hispanic,736,71204,False
white,657,71204,False
white,756,71203,False
asian,807,71202,False
asian,649,71200,True
asian,700,71203,False
asian,723,71203,False
white,779,71206,False
white,805,71202,False
white,636,71202,True
black,407,71205,True
black,652,71206,False
hispanic,707,71204,False
black,706,71206,True
white,832,71200,False
hispanic,445,71204,True
asian,764,71206,False
white,822,71204,False
hispanic,598,71206,False
white,487,71205,True
black,349,71206,True
white,724,71205,False
white,694,71204,False
white,834,71202,False
asian,558,71203,True
asian,826,71201,False
white,800,71202,False
white,684,71202,False
asian,632,71202,False
white,580,71202,False
white,408,71202,True
asian,606,71206,False
asian,724,71202,True
white,602,71202,True
black,367,71205,True
black,733,71206,False
hispanic,340,71207,True
hispanic,584,71207,False
white,637,71203,False
hispanic,550,71205,True
hispanic,629,71207,True
white,744,71204,False
white,505,71201,True
white,627,71204,False
black,458,71207,True
white,782,71202,False
black,446,71203,True
white,788,71205,False
asian,647,71201,False
hispanic,509,71207,True
asian,742,71206,True
black,630,71206,False
white,634,71200,False
white,599,71201,False
asian,738,71202,False
asian,667,71205,False
white,799,71202,False
white,699,71202,False
white,738,71203,False
black,413,71202,True
white,655,71203,False
hispanic,603,71204,True
asian,354,71206,False
white,636,71202,True
hispanic,745,71200,False
white,673,71207,True
hispanic,424,71204,True
hispanic,473,71206,True
asian,364,71206,True
asian,721,71203,True
black,447,71201,True
asian,711,71202,False
asian,826,71200,False
asian,789,71202,False
hispanic,393,71205,True
asian,767,71200,False
asian,816,71200,False
asian,681,71202,False
asian,618,71200,False
black,411,71203,True
hispanic,559,71206,False
asian,538,71201,False
hispanic,612,71204,False
white,486,71202,False
black,653,71207,True
white,777,71200,False
hispanic,561,71201,False
hispanic,761,71204,False
white,739,71207,True
hispanic,698,71205,False
asian,591,71207,True
hispanic,671,71206,False
white,367,71203,True
white,780,71201,False
black,502,71201,True
asian,593,71201,False
white,727,71203,False
white,679,71202,False
white,844,71201,False
black,555,71207,False
white,604,71205,True
asian,659,71201,False
white,625,71206,False
asian,740,71206,False
black,456,71204,False
black,544,71206,True
hispanic,480,71205,False
white,525,71205,True
asian,774,71200,False
black,374,71207,True
white,300,71200,True
white,365,71201,True
black,733,71206,False
white,384,71207,True
black,322,71204,True
white,758,71203,False
asian,798,71201,False
white,664,71202,False
asian,648,71206,False
white,742,71203,False
black,651,71206,True
hispanic,531,71200,True
asian,735,71201,False
white,638,71200,False
hispanic,802,71206,False
white,719,71202,False
hispanic,569,71204,True
white,751,71203,False
white,670,71202,False
hispanic,501,71205,True
white,608,71200,True
black,728,71207,False
white,645,71203,False
asian,667,71200,False
black,371,71204,True
hispanic,442,71202,True
white,833,71203,False
white,770,71200,False
black,659,71201,True
asian,712,71200,False
asian,668,71200,False
asian,787,71200,False
black,329,71205,True
white,573,71204,False
white,354,71201,True
asian,757,71200,False
white,783,71202,False
black,539,71201,True
black,324,71206,True
black,359,71206,True
hispanic,810,71206,False
white,656,71202,False
asian,763,71200,False
black,585,71205,False
hispanic,700,71200,False
black,461,71207,True
asian,766,71204,False
hispanic,562,71205,True
black,484,71205,True
asian,804,71201,False
black,339,71205,True
hispanic,436,71207,True
asian,667,71204,False
asian,771,71202,False
hispanic,450,71200,True
white,724,71200,False
white,786,71202,False
white,693,71202,False
asian,683,71201,False
white,340,71203,True
asian,397,71201,True
black,415,71206,True
white,708,71203,True
asian,720,71202,False
white,762,71202,False
hispanic,609,71202,False
white,654,71203,False
black,625,71204,False
white,378,71201,True
asian,664,71201,False
hispanic,397,71205,True
white,788,71202,False
black,759,71206,False
black,335,71205,True
hispanic,306,71201,True
white,747,71202,False
white,676,71200,False
white,821,71200,False
asian,777,71204,False
black,478,71204,False
hispanic,462,71205,True
white,790,71203,False
asian,342,71203,True
white,708,71200,False
asian,625,71201,False
asian,634,71204,False
black,386,71205,True
white,655,71202,False
hispanic,589,71200,False
hispanic,527,71204,False
white,760,71201,False
black,625,71206,False
white,581,71203,False
asian,782,71200,False
hispanic,627,71205,False
black,494,71204,True
black,373,71207,True
hispanic,661,71206,False
black,546,71206,False
hispanic,332,71204,True
white,652,71202,False
asian,638,71200,True
black,345,71207,True
white,703,71206,False
white,663,71200,False
white,585,71204,False
black,596,71206,True
white,533,71207,True
hispanic,821,71206,False
black,659,71205,False
white,771,71202,False
asian,694,71200,False
white,766,71202,False
asian,697,71201,False
asian,679,71200,True
black,570,71201,True
white,542,71201,False
asian,716,71202,False
black,418,71207,True
white,738,71201,False
white,513,71203,False
white,429,71201,True
hispanic,732,71204,False
white,716,71202,False
hispanic,654,71205,False
hispanic,526,71202,False
black,417,71207,True
white,749,71202,False
white,753,71204,False
hispanic,401,71205,True
black,541,71207,True
black,617,71204,False
white,596,71202,False
black,464,71205,True
asian,632,71204,False
white,652,71203,False
white,546,71200,False
asian,673,71201,True
white,389,71202,True
hispanic,688,71204,False
hispanic,553,71200,False
asian,638,71201,False
black,309,71205,True
hispanic,674,71204,False
white,614,71203,False
asian,689,71206,False
white,614,71206,False
black,318,71207,True
black,372,71206,True
black,314,71206,True
hispanic,346,71204,True
hispanic,475,71201,True
black,651,71205,True
white,611,71203,True
asian,780,71201,False
asian,624,71200,False
asian,732,71202,False
black,500,71207,True
black,535,71202,False
white,342,71205,True
asian,659,71202,False
white,662,71203,False
black,370,71207,True
white,757,71203,False
black,622,71202,False
black,350,71201,True
asian,602,71200,False
hispanic,409,71204,True
asian,373,71200,True
black,383,71207,True
asian,419,71201,False
white,763,71203,False
hispanic,472,71205,True
asian,668,71203,False
hispanic,360,71207,True
asian,611,71204,False
black,575,71205,True
black,518,71202,False
asian,592,71203,True
black,367,71207,True
white,675,71202,True
white,686,71203,False
hispanic,561,71203,True
hispanic,514,71201,True
asian,658,71205,False
asian,750,71200,False
black,499,71201,True
white,611,71202,False
black,337,71205,True
hispanic,696,71205,False
asian,758,71200,False
asian,715,71200,False
white,638,71204,False
white,810,71206,False
hispanic,536,71204,True
white,710,71202,False
white,627,71207,True
black,319,71204,True
white,721,71207,False
white,696,71203,True
hispanic,488,71200,True
asian,747,71207,False
asian,741,71200,False
hispanic,338,71207,True
hispanic,739,71206,False
black,642,71207,False
asian,417,71203,True
hispanic,598,71205,True
hispanic,671,71200,False
hispanic,725,71205,False
black,388,71207,True
black,512,71206,True
black,407,71206,True
white,839,71206,False
hispanic,544,71207,True
white,648,71207,False
white,756,71204,False
asian,437,71203,True
asian,685,71204,False
black,484,71207,True
white,554,71200,False
asian,579,71201,True
hispanic,748,71206,False
white,414,71206,True
asian,783,71206,False
asian,826,71201,False
asian,425,71202,True
hispanic,849,71204,False
white,648,71206,False
hispanic,603,71205,False
asian,655,71205,False
black,406,71205,True
asian,699,71206,False
white,587,71200,False
black,450,71206,True
white,688,71203,False
white,378,71205,True
white,751,71204,False
hispanic,395,71201,True
white,491,71206,False
asian,674,71206,False
white,535,71202,False
black,342,71203,True
hispanic,576,71205,True
asian,653,71201,False
white,747,71202,False
white,678,71200,False
black,522,71206,False
white,720,71203,False
black,358,71206,True
white,689,71203,False
white,686,71202,False
asian,848,71201,False
black,612,71200,False
hispanic,308,71205,True
black,713,71207,False
asian,667,71200,False
black,449,71205,True
asian,702,71202,False
hispanic,616,71202,False
white,578,71203,True
hispanic,573,71205,False
hispanic,341,71202,True
white,688,71204,False
hispanic,609,71205,False
white,578,71201,True
asian,755,71204,False
asian,608,71204,False
white,658,71202,False
asian,630,71205,False
white,700,71203,False
asian,666,71202,False
white,725,71205,False
white,722,71202,False
black,583,71201,True
hispanic,781,71204,False
black,382,71206,True
white,508,71202,False
white,666,71200,False
hispanic,573,71204,False
black,601,71206,False
asian,434,71200,True
hispanic,486,71205,True
hispanic,408,71206,True
hispanic,369,71205,True
white,495,71202,True
asian,757,71204,False
black,311,71206,True
hispanic,404,71200,True
white,729,71201,False
white,377,71203,True
asian,385,71203,True
asian,660,71200,False
black,572,71207,True
hispanic,533,71207,True
hispanic,529,71204,True
black,471,71207,True
black,728,71200,False
black,458,71201,True
white,718,71202,False
black,668,71206,False
asian,818,71201,False
black,484,71200,True
asian,670,71206,False
white,680,71203,False
hispanic,687,71202,False
hispanic,378,71205,True
asian,597,71201,False
white,426,71201,True
white,757,71201,False
white,573,71203,False
white,696,71200,False
asian,790,71207,False
white,643,71203,False
asian,729,71202,False
white,637,71202,False
asian,730,71202,False
white,794,71202,False
hispanic,597,71205,True
asian,404,71205,True
black,433,71205,True
asian,631,71202,False
white,590,71202,False
white,335,71202,True
white,425,71203,False
hispanic,613,71203,True
hispanic,354,71205,True
white,638,71200,False
asian,614,71201,False
white,663,71202,False
hispanic,481,71205,True
asian,697,71205,False
white,495,71202,True
hispanic,657,71204,False
white,749,71202,False
white,646,71206,False
hispanic,564,71200,False
black,524,71207,False
asian,691,71201,False
asian,715,71205,False
white,576,71204,False
black,809,71206,False
white,778,71204,False
hispanic,718,71204,True
black,570,71204,True
white,832,71206,False
asian,641,71203,False
hispanic,848,71206,False
hispanic,573,71206,False
hispanic,402,71206,True
white,693,71203,False
asian,517,71201,False
asian,612,71204,False
asian,734,71201,False
black,493,71207,True
white,741,71203,False
black,541,71206,True
asian,574,71200,True
hispanic,596,71205,True
white,806,71203,False
black,416,71207,True
white,727,71202,False
hispanic,802,71205,False
asian,595,71207,True
asian,588,71202,False
white,485,71203,False
asian,721,71202,False
asian,745,71201,False
hispanic,732,71202,False
asian,727,71206,True
black,491,71207,True
asian,740,71207,True
white,556,71203,True
white,614,71202,False
white,627,71202,False
white,672,71202,False
black,404,71201,True
black,641,71207,False
white,438,71200,True
white,784,71202,False
white,743,71203,False
asian,529,71200,False
hispanic,455,71205,True
black,584,71200,False
hispanic,473,71204,False
asian,697,71204,False
white,338,71202,True
black,590,71200,False
black,576,71202,False
white,479,71202,False
black,569,71206,True
black,313,71203,True
asian,686,71202,False
asian,694,71202,False
asian,473,71206,False
asian,579,71201,False
white,680,71200,False
asian,619,71204,False
black,518,71206,True
white,844,71200,False
white,650,71207,True
black,711,71200,False
asian,598,71200,False
hispanic,836,71200,False
asian,680,71200,True
hispanic,705,71204,True
hispanic,701,71202,False
white,668,71204,False
white,605,71202,False
asian,663,71206,False
white,716,71200,False
hispanic,788,71201,False
white,774,71202,False
white,768,71200,False
black,345,71207,True
asian,712,71204,False
black,454,71207,True
hispanic,615,71205,True
white,622,71200,False
white,764,71206,False
asian,775,71206,False
hispanic,349,71204,True
white,726,71207,False
hispanic,539,71204,False
hispanic,453,71206,True
black,590,71207,True
white,577,71200,True
white,667,71204,False
white,591,71203,False
hispanic,710,71204,False
asian,775,71200,False
white,637,71202,False
asian,641,71201,False
asian,485,71201,True
white,760,71203,False
white,668,71203,False
black,538,71207,True
white,348,71207,True
white,487,71203,True
hispanic,302,71205,True
hispanic,488,71207,True
black,338,71207,True
black,585,71201,True
white,510,71200,True
asian,721,71200,False
white,811,71203,False
white,675,71206,False
white,632,71206,False
asian,816,71207,False
asian,782,71201,True
white,620,71202,False
black,616,71206,True
asian,787,71200,False
hispanic,573,71203,False
white,808,71206,False
asian,692,71201,False
black,756,71200,False
hispanic,500,71205,False
white,308,71207,True
white,671,71203,False
hispanic,495,71205,True
black,724,71204,False
hispanic,713,71204,False
asian,544,71204,False
white,640,71202,False
white,751,71204,False
asian,605,71204,False
hispanic,777,71200,False
asian,778,71206,False
asian,716,71202,False
white,837,71202,False
black,500,71205,True
black,552,71204,True
hispanic,537,71205,False
black,627,71202,False
black,345,71204,False
black,619,71207,False
black,400,71203,True
black,585,71206,True
white,818,71202,False
white,791,71206,False
hispanic,458,71206,False
hispanic,742,71202,False
white,811,71203,False
white,534,71203,True
asian,702,71200,False
white,645,71203,False
white,735,71201,False
hispanic,701,71205,False
hispanic,655,71200,False
white,659,71202,False
black,429,71205,True
white,652,71206,False
white,800,71202,False
asian,725,71201,False
asian,575,71201,True
white,686,71207,False
black,515,71207,True
white,658,71203,False
black,457,71207,True
asian,523,71202,True
hispanic,401,71205,True
asian,640,71203,False
hispanic,771,71202,False
white,625,71202,True
hispanic,467,71204,False
white,603,71203,True
white,523,71203,True
white,633,71201,False
white,651,71204,False
white,669,71202,False
white,651,71200,False
white,765,71202,False
hispanic,497,71207,True
white,360,71201,True
black,500,71205,True
white,589,71207,True
white,629,71206,False
hispanic,325,71201,True
white,451,71205,True
white,528,71202,True
black,372,71201,True
asian,779,71202,False
white,788,71203,False
white,504,71201,True
white,623,71203,False
hispanic,435,71206,True
black,340,71207,True
hispanic,673,71202,False
asian,319,71203,True
asian,683,71200,False
white,737,71206,False
white,536,71201,True
asian,600,71203,False
white,745,71202,False
white,766,71202,False
asian,677,71202,False
white,437,71203,True
white,654,71203,True
black,716,71202,False
black,326,71201,True
black,433,71205,True
hispanic,845,71204,False
white,564,71202,True
white,594,71205,False
white,599,71205,True
hispanic,341,71207,True
asian,723,71200,False
asian,728,71201,False
white,508,71202,True
white,479,71200,False
hispanic,754,71202,False
asian,407,71200,True
asian,393,71201,True
white,719,71203,False
asian,670,71206,False
black,336,71204,False
black,639,71200,False
hispanic,357,71204,True
black,467,71200,True
white,412,71200,True
hispanic,575,71200,False
white,647,71200,False
hispanic,628,71206,False
asian,584,71206,False
hispanic,453,71204,False
black,341,71203,True
white,581,71206,True
white,598,71204,False
black,627,71205,True
white,725,71202,False
asian,799,71202,False
hispanic,700,71207,False
white,631,71201,False
white,789,71204,False
black,801,71204,False
asian,581,71206,False
white,798,71202,False
asian,810,71203,True
asian,377,71201,True
hispanic,604,71206,False
white,798,71202,False
asian,642,71207,False
white,511,71203,True
asian,728,71206,False
white,680,71202,False
hispanic,514,71203,True
white,736,71202,False
white,650,71200,False
white,669,71201,False
white,590,71203,True
asian,595,71200,False
hispanic,844,71204,False
white,749,71206,False
white,613,71203,False
asian,581,71200,True
asian,651,71200,False
white,334,71201,True
white,663,71200,False
black,666,71207,False
hispanic,428,71204,True
black,523,71206,True
white,651,71202,False
white,634,71200,True
black,579,71206,True
black,475,71205,True
white,429,71207,True
white,745,71201,False
hispanic,569,71201,True
black,617,71206,False
asian,586,71201,True
asian,642,71202,False
white,401,71202,True
white,403,71202,True
black,492,71207,False
hispanic,578,71201,True
white,835,71202,False
white,398,71205,True
white,648,71202,False
white,612,71204,False
black,433,71206,True
hispanic,527,71204,True
white,713,71202,False
black,678,71207,True
asian,789,71201,False
hispanic,547,71202,False
white,660,71205,False
white,787,71202,False
white,515,71200,False
black,349,71206,True
hispanic,565,71205,False
asian,832,71200,False
hispanic,553,71204,False
white,597,71200,False
black,403,71206,True
white,511,71203,True
asian,778,71201,False
white,722,71203,False
white,616,71203,True
asian,598,71201,True
asian,574,71200,False
white,716,71206,False
white,734,71203,False
white,725,71202,False
asian,419,71200,True
hispanic,441,71207,True
asian,506,71207,True
white,648,71204,False
white,632,71204,False
white,568,71203,False
asian,707,71201,False
asian,711,71203,False
hispanic,547,71202,False
asian,624,71201,False
hispanic,361,71207,True
white,762,71204,False
white,764,71200,False
hispanic,504,71201,True
white,739,71202,False
white,697,71200,True
asian,597,71204,False
asian,770,71200,False
white,698,71204,False
black,777,71206,False
white,729,71203,False
asian,333,71201,True
white,566,71201,True
white,722,71202,False
white,796,71203,False
white,728,71202,False
white,518,71201,True
asian,588,71201,False
white,781,71200,False
black,389,71201,True
hispanic,546,71204,True
asian,750,71200,False
hispanic,755,71204,False
white,828,71202,True
white,648,71207,False
asian,543,71204,False
white,711,71206,False
asian,624,71206,False
hispanic,345,71201,True
white,793,71202,False
asian,722,71201,False
asian,773,71204,True
white,493,71202,True
white,799,71203,False
hispanic,547,71205,True
white,516,71203,True
black,422,71206,True
white,592,71200,False
hispanic,606,71204,True
black,600,71204,False
asian,791,71200,False
white,766,71202,False
white,593,71205,False
white,675,71200,False
white,558,71202,True
hispanic,519,71202,False
white,433,71203,True
white,818,71203,False
hispanic,315,71201,True
asian,672,71200,False
black,622,71202,False
white,691,71202,False
black,512,71206,False
asian,801,71201,False
asian,843,71200,False
white,776,71203,False
white,771,71200,False
white,422,71203,True
asian,525,71206,True
hispanic,412,71205,True
hispanic,564,71204,False
white,831,71200,False
white,612,71202,False
asian,508,71200,True
white,385,71203,True
white,692,71204,False
black,347,71206,True
asian,765,71206,False
white,755,71201,False
black,781,71206,False
asian,531,71206,False
black,457,71204,True
black,578,71206,True
white,690,71202,False
white,821,71200,False
white,462,71202,True
black,602,71207,False
hispanic,439,71205,True
white,379,71203,True
hispanic,305,71205,False
black,547,71202,False
white,695,71203,True
black,377,71200,True
white,844,71202,False
asian,752,71200,False
white,555,71202,True
black,755,71206,False
asian,544,71203,True
white,527,71203,False
hispanic,779,71205,False
white,845,71200,False
white,605,71202,False
white,756,71202,False
black,541,71207,True
white,636,71204,True
white,759,71203,False
asian,737,71201,False
black,633,71204,False
asian,619,71200,False
white,694,71202,True
hispanic,433,71204,True
hispanic,599,71206,True
asian,776,71204,False
white,751,71201,True
white,535,71201,False
white,763,71202,False
white,695,71203,True
hispanic,712,71205,False
black,467,71202,True
asian,461,71207,True
black,526,71201,True
asian,655,71206,False
black,558,71201,True
asian,794,71200,False
white,750,71203,False
asian,748,71202,False
black,566,71206,True
hispanic,540,71205,True
white,705,71202,False
hispanic,605,71204,True
hispanic,531,71205,True
black,594,71206,True
white,454,71203,True
asian,638,71200,False
asian,745,71203,False
white,694,71205,False
black,512,71205,True
asian,699,71200,False
hispanic,680,71202,False
white,834,71202,False
asian,381,71201,True
white,730,71202,True
white,632,71201,False
asian,701,71207,False
white,580,71203,False
white,751,71204,False
black,471,71204,True
asian,842,71202,False
white,647,71202,False
asian,490,71201,True
hispanic,644,71204,False
black,574,71206,False
hispanic,547,71207,True
asian,792,71206,False
white,731,71206,False
hispanic,568,71202,False
white,768,71203,False
hispanic,521,71205,True
asian,640,71200,False
black,585,71207,True
asian,766,71200,False
white,617,71203,False
hispanic,650,71207,False
black,626,71207,False
black,540,71206,True
white,711,71204,False
asian,470,71207,True
white,720,71204,False
asian,529,71204,False
asian,726,71203,True
white,640,71203,False
hispanic,492,71204,False
asian,685,71200,False
asian,731,71204,False
hispanic,550,71204,True
asian,777,71206,False
asian,728,71201,False
white,668,71202,False
black,597,71206,False
asian,606,71204,True
white,757,71202,False
black,617,71206,False
asian,328,71201,True
hispanic,596,71205,True
asian,693,71201,True
white,638,71200,False
asian,742,71200,False
black,743,71202,False
asian,657,71200,False
black,505,71207,True
hispanic,539,71206,False
hispanic,630,71204,True
black,544,71205,True
hispanic,528,71204,False
white,665,71203,False
hispanic,349,71201,True
hispanic,817,71200,False
asian,769,71202,True
white,694,71200,False
asian,797,71200,False
asian,638,71205,True
asian,626,71201,False
asian,482,71205,True
asian,740,71201,False
hispanic,476,71207,True
asian,611,71202,False
asian,531,71201,True
hispanic,700,71205,True
white,740,71202,False
hispanic,454,71205,True
white,394,71207,True
white,793,71200,False
hispanic,386,71204,True
white,565,71205,True
black,326,71204,True
black,437,71207,True
hispanic,585,71203,True
black,665,71206,False
asian,776,71200,False
asian,849,71201,False
asian,766,71201,False
hispanic,668,71205,False
hispanic,501,71207,False
white,632,71205,True
white,558,71203,True
asian,789,71202,False
hispanic,717,71200,False
white,666,71203,False
asian,613,71207,True
white,721,71203,False
black,503,71205,True
white,768,71206,False
white,625,71203,False
asian,700,71201,False
asian,658,71200,False
black,650,71207,True
hispanic,505,71203,True
hispanic,328,71204,True
asian,599,71201,True
asian,625,71201,False
hispanic,316,71204,True
hispanic,641,71205,True
white,667,71202,False
white,696,71201,True
white,674,71201,False
hispanic,824,71204,False
white,704,71201,False
black,515,71206,False
white,743,71202,False
white,784,71202,False
black,663,71205,False
hispanic,567,71202,False
white,402,71201,True
black,331,71206,True
white,684,71202,False
white,733,71203,False
black,545,71207,True
hispanic,594,71201,True
white,748,71206,False
hispanic,471,71204,True
white,664,71203,True
hispanic,445,71204,False
black,451,71206,True
asian,624,71204,False
hispanic,795,71204,False
hispanic,608,71206,True
white,716,71203,False
white,578,71200,False
hispanic,516,71206,False
asian,743,71202,False
black,642,71206,True
black,507,71206,False
white,630,71204,False
hispanic,816,71201,False
white,720,71202,False
asian,786,71204,False
asian,776,71204,False
asian,639,71202,False
asian,775,71202,False
white,531,71200,False
white,810,71204,False
hispanic,808,71205,False
asian,522,71205,True
black,524,71206,True
asian,438,71206,True
asian,775,71201,False
black,353,71205,True
asian,606,71202,False
hispanic,662,71207,False
white,779,71200,False
asian,795,71207,False
asian,803,71201,False
white,640,71202,True
hispanic,515,71203,True
black,623,71201,True
hispanic,740,71202,False
white,840,71202,True
asian,711,71200,False
black,505,71204,True
black,568,71207,True
black,624,71206,True
asian,744,71201,True
white,680,71201,False
white,678,71206,False
white,575,71201,True
hispanic,411,71201,True
asian,601,71206,False
asian,606,71201,False
asian,698,71201,False
white,665,71202,False
